day,month,year,name,bio,url
1,1,1878,Agner Krarup Erlang,"Danish mathematician, statistician, and engineer (d. 1929)",https://en.wikipedia.org/wiki/Agner_Krarup_Erlang
1,1,1894,Satyendra Nath Bose,Indian physicist and mathematician (d. 1974),https://en.wikipedia.org/wiki/Satyendra_Nath_Bose
1,1,1905,Stanisław Mazur,Ukrainian-Polish mathematician and theorist (d. 1981),https://en.wikipedia.org/wiki/Stanis%C5%82aw_Mazur
1,1,1912,Boris Vladimirovich Gnedenko,Russian mathematician and historian (d. 1995),https://en.wikipedia.org/wiki/Boris_Vladimirovich_Gnedenko
2,1,1803,Guglielmo Libri Carucci dalla Sommaja,Italian mathematician and academic (d. 1869),https://en.wikipedia.org/wiki/Guglielmo_Libri_Carucci_dalla_Sommaja
2,1,1822,Rudolf Clausius,Polish-German physicist and mathematician (d. 1888),https://en.wikipedia.org/wiki/Rudolf_Clausius
3,1,1975,Danica McKellar,American actress and mathematician,https://en.wikipedia.org/wiki/Danica_McKellar
4,1,1643,Isaac Newton,English mathematician and physicist (d. 1726/27),https://en.wikipedia.org/wiki/Isaac_Newton
5,1,1838,Camille Jordan,French mathematician and academic (d. 1922),https://en.wikipedia.org/wiki/Camille_Jordan
5,1,1909,Stephen Cole Kleene,American mathematician and computer scientist (d. 1994),https://en.wikipedia.org/wiki/Stephen_Cole_Kleene
6,1,1561,Thomas Fincke,Danish mathematician and physicist (d. 1656),https://en.wikipedia.org/wiki/Thomas_Fincke
6,1,1807,Joseph Petzval,German-Hungarian mathematician and physicist (d. 1891),https://en.wikipedia.org/wiki/Joseph_Petzval
7,1,1871,Émile Borel,French mathematician and politician (d. 1956),https://en.wikipedia.org/wiki/%C3%89mile_Borel
8,1,1888,Richard Courant,German-American mathematician and academic (d. 1972),https://en.wikipedia.org/wiki/Richard_Courant
8,1,1952,Peter McCullagh,Irish mathematician and academic,https://en.wikipedia.org/wiki/Peter_McCullagh
9,1,1864,Vladimir Steklov,Russian mathematician and physicist (d. 1926),https://en.wikipedia.org/wiki/Vladimir_Steklov_(mathematician)
10,1,1875,Issai Schur,German mathematician and academic (d. 1941),https://en.wikipedia.org/wiki/Issai_Schur
10,1,1891,Heinrich Behmann,German mathematician and academic (d. 1970),https://en.wikipedia.org/wiki/Heinrich_Behmann
10,1,1938,Donald Knuth,American computer scientist and mathematician,https://en.wikipedia.org/wiki/Donald_Knuth
11,1,1845,Albert Victor Bäcklund,Swedish mathematician and physicist (d. 1912),https://en.wikipedia.org/wiki/Albert_Victor_B%C3%A4cklund
12,1,1853,Gregorio Ricci-Curbastro,Italian mathematician (d. 1925),https://en.wikipedia.org/wiki/Gregorio_Ricci-Curbastro
13,1,1900,Gertrude Mary Cox,American mathematician (d. 1978),https://en.wikipedia.org/wiki/Gertrude_Mary_Cox
13,1,1902,Karl Menger,Austrian-American mathematician from the Vienna Circle (d. 1985),https://en.wikipedia.org/wiki/Karl_Menger
14,1,1684,Johann Matthias Hase,"German mathematician, astronomer, and cartographer (d. 1742)",https://en.wikipedia.org/wiki/Johann_Matthias_Hase
14,1,1887,Hugo Steinhaus,Polish mathematician and academic (d. 1972),https://en.wikipedia.org/wiki/Hugo_Steinhaus
14,1,1901,Alfred Tarski,Polish-American mathematician and philosopher (d. 1983),https://en.wikipedia.org/wiki/Alfred_Tarski
15,1,1850,Sofia Kovalevskaya,Russian-Swedish mathematician and physicist (d. 1891),https://en.wikipedia.org/wiki/Sofia_Kovalevskaya
17,1,1574,Robert Fludd,"English physician, astrologer, and mathematician (d. 1637)",https://en.wikipedia.org/wiki/Robert_Fludd
17,1,1881,Antoni Łomnicki,Polish mathematician and academic (d. 1941),https://en.wikipedia.org/wiki/Antoni_%C5%81omnicki
18,1,1901,Ivan Petrovsky,Russian mathematician and academic (d. 1973),https://en.wikipedia.org/wiki/Ivan_Petrovsky
18,1,1908,Jacob Bronowski,"Polish-English mathematician, historian, and television host (d. 1974)",https://en.wikipedia.org/wiki/Jacob_Bronowski
19,1,1833,Alfred Clebsch,German mathematician and academic (d. 1872),https://en.wikipedia.org/wiki/Alfred_Clebsch
19,1,1908,Aleksandr Gennadievich Kurosh,Russian mathematician and theorist (d. 1971),https://en.wikipedia.org/wiki/Aleksandr_Gennadievich_Kurosh
19,1,1912,Leonid Kantorovich,"Russian mathematician and economist, Nobel Prize laureate (d. 1986)",https://en.wikipedia.org/wiki/Leonid_Kantorovich
20,1,1526,Rafael Bombelli,Italian mathematician (d. 1572),https://en.wikipedia.org/wiki/Rafael_Bombelli
20,1,1775,André-Marie Ampère,French physicist and mathematician (d. 1836),https://en.wikipedia.org/wiki/Andr%C3%A9-Marie_Amp%C3%A8re
20,1,1895,Gábor Szegő,Hungarian mathematician and academic (d. 1985),https://en.wikipedia.org/wiki/G%C3%A1bor_Szeg%C5%91
20,1,1939,Chandra Wickramasinghe,"Sri Lankan-English mathematician, astronomer, and biologist",https://en.wikipedia.org/wiki/Chandra_Wickramasinghe
21,1,1827,Ivan Mikheevich Pervushin,Russian mathematician and theorist (d. 1900),https://en.wikipedia.org/wiki/Ivan_Mikheevich_Pervushin
21,1,1846,Pieter Hendrik Schoute,Dutch mathematician and academic (d. 1923),https://en.wikipedia.org/wiki/Pieter_Hendrik_Schoute
21,1,1874,René-Louis Baire,French mathematician (d. 1932),https://en.wikipedia.org/wiki/Ren%C3%A9-Louis_Baire
21,1,1882,Pavel Florensky,Russian mathematician and theologian (d. 1937),https://en.wikipedia.org/wiki/Pavel_Florensky
21,1,1915,André Lichnerowicz,French mathematician (d. 1998),https://en.wikipedia.org/wiki/Andr%C3%A9_Lichnerowicz
21,1,1947,Dorian M. Goldfeld,American mathematician,https://en.wikipedia.org/wiki/Dorian_M._Goldfeld
22,1,1592,Pierre Gassendi,"French mathematician, astronomer, and philosopher (d. 1655)",https://en.wikipedia.org/wiki/Pierre_Gassendi
22,1,1880,Frigyes Riesz,Hungarian mathematician and academic (d. 1956),https://en.wikipedia.org/wiki/Frigyes_Riesz
23,1,1719,John Landen,English mathematician and theorist (d. 1790),https://en.wikipedia.org/wiki/John_Landen
23,1,1846,Nikolay Umov,Russian physicist and mathematician (d. 1915),https://en.wikipedia.org/wiki/Nikolay_Umov
23,1,1862,David Hilbert,German mathematician and academic (d. 1943),https://en.wikipedia.org/wiki/David_Hilbert
23,1,1889,Claribel Kendall,American mathematician (d.1965),https://en.wikipedia.org/wiki/Claribel_Kendall
23,1,1946,Boris Berezovsky,Russian-English businessman and mathematician (d. 2013),https://en.wikipedia.org/wiki/Boris_Berezovsky_(businessman)
24,1,1814,John Colenso,British mathematician (d. 1883),https://en.wikipedia.org/wiki/John_Colenso
24,1,1863,August Adler,Czech and Austrian mathematician (d. 1923),https://en.wikipedia.org/wiki/August_Adler
24,1,1931,Lars Hörmander,Swedish mathematician and academic (d. 2012),https://en.wikipedia.org/wiki/Lars_H%C3%B6rmander
25,1,1736,Joseph-Louis Lagrange,Italian-French mathematician and astronomer (d. 1813),https://en.wikipedia.org/wiki/Joseph-Louis_Lagrange
26,1,1933,Donald Sarason,American mathematician (d. 2017),https://en.wikipedia.org/wiki/Donald_Sarason
26,1,1946,Susan Friedlander,American mathematician,https://en.wikipedia.org/wiki/Susan_Friedlander
27,1,1832,Lewis Carroll,"English novelist, poet, and mathematician (d. 1898)",https://en.wikipedia.org/wiki/Lewis_Carroll
28,1,1540,Ludolph van Ceulen,German-Dutch mathematician and academic (d. 1610),https://en.wikipedia.org/wiki/Ludolph_van_Ceulen
28,1,1701,Charles Marie de La Condamine,French mathematician and geographer (d. 1774),https://en.wikipedia.org/wiki/Charles_Marie_de_La_Condamine
29,1,1810,Ernst Kummer,Polish-German mathematician and academic (d. 1893),https://en.wikipedia.org/wiki/Ernst_Kummer
29,1,1846,Karol Olszewski,"Polish chemist, mathematician and physicist (d. 1915)",https://en.wikipedia.org/wiki/Karol_Olszewski
29,1,1888,Sydney Chapman,English mathematician and geophysicist (d. 1970),https://en.wikipedia.org/wiki/Sydney_Chapman_(mathematician)
29,1,1928,Joseph Kruskal,American mathematician and computer scientist (d. 2010),https://en.wikipedia.org/wiki/Joseph_Kruskal
31,1,1854,David Emmanuel,Romanian mathematician and academic (d. 1941),https://en.wikipedia.org/wiki/David_Emmanuel_(mathematician)
31,1,1896,Sofya Yanovskaya,Russian mathematician and historian (d. 1966),https://en.wikipedia.org/wiki/Sofya_Yanovskaya
1,2,1561,Henry Briggs,British mathematician (d. 1630),https://en.wikipedia.org/wiki/Henry_Briggs_(mathematician)
2,2,1522,Lodovico Ferrari,Italian mathematician and academic (d. 1565),https://en.wikipedia.org/wiki/Lodovico_Ferrari
2,2,1786,Jacques Philippe Marie Binet,"French mathematician, physicist, and astronomer (d. 1856)",https://en.wikipedia.org/wiki/Jacques_Philippe_Marie_Binet
2,2,1842,Julian Sochocki,Polish-Russian mathematician and academic (d. 1927),https://en.wikipedia.org/wiki/Julian_Sochocki
2,2,1893,Cornelius Lanczos,Hungarian mathematician and physicist (d. 1974),https://en.wikipedia.org/wiki/Cornelius_Lanczos
2,2,1896,Kazimierz Kuratowski,Polish mathematician and logician (d. 1980),https://en.wikipedia.org/wiki/Kazimierz_Kuratowski
2,2,1897,Gertrude Blanch,Russian-American mathematician (d. 1996),https://en.wikipedia.org/wiki/Gertrude_Blanch
3,2,1893,Gaston Julia,Algerian-French mathematician and academic (d. 1978),https://en.wikipedia.org/wiki/Gaston_Julia
3,2,1905,Arne Beurling,Swedish-American mathematician and academic (d. 1986),https://en.wikipedia.org/wiki/Arne_Beurling
3,2,1957,Eric Lander,"American mathematician, geneticist, and academic",https://en.wikipedia.org/wiki/Eric_Lander
